dataset,n_samples,n_features,n_classes,redundancy_score,redundancy_level,dt_test_accuracy,dt_train_accuracy,dt_overfitting,dt_depth,dt_leaves,rf_test_accuracy,rf_train_accuracy,rf_overfitting,rf_advantage_over_dt,dt_training_time,rf_training_time
breast-cancerwisconsin,569,30,2,0.33103448275862074,MODERATE,0.9298245614035088,1.0,0.07017543859649122,8,24,0.9736842105263158,1.0,0.02631578947368418,0.04385964912280704,0.008001327514648438,0.1537940502166748
dermatology,366,94,6,0.29779095454016974,LOW,0.9054054054054054,1.0,0.09459459459459463,11,14,0.972972972972973,1.0,0.027027027027026973,0.06756756756756765,0.001999378204345703,0.1298837661743164
diabetes,769,1262,3,0.4102422083822853,MODERATE,0.6298701298701299,0.8552845528455284,0.2254144229753985,30,73,0.6623376623376623,1.0,0.33766233766233766,0.03246753246753242,0.05699872970581055,0.1926577091217041
diabetestext,768,112,2,0.47604971042471045,MODERATE,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.0010001659393310547,0.1469893455505371
glass,214,10,6,0.12888888888888891,LOW,0.9534883720930233,1.0,0.046511627906976716,5,6,0.9767441860465116,1.0,0.023255813953488413,0.023255813953488302,0.0010025501251220703,0.13153576850891113
ionosphere,351,34,2,0.13155080213903741,LOW,0.9014084507042254,1.0,0.09859154929577463,12,24,0.9577464788732394,1.0,0.04225352112676062,0.05633802816901401,0.0070018768310546875,0.17464280128479004
kr-vs-kp,3196,73,2,0.43536612546505055,MODERATE,0.996875,1.0,0.0031250000000000444,13,46,0.9859375,1.0,0.014062499999999978,-0.010937499999999933,0.006508827209472656,0.15484905242919922
kr-vs-kptext,3196,73,2,0.43521391846352847,MODERATE,1.0,1.0,0.0,1,2,1.0,1.0,0.0,0.0,0.0020012855529785156,0.15781617164611816
mushrooms,8124,117,2,0.40113978978645615,MODERATE,1.0,1.0,0.0,7,14,1.0,1.0,0.0,0.0,0.02299809455871582,0.22069001197814941
parkinsons,196,3940,196,0.5792885184971572,MODERATE,0.0,0.1987179487179487,0.1987179487179487,30,31,0.0,1.0,1.0,0.0,0.1175239086151123,0.16431117057800293
spambase,4601,57,2,0.2418905882397801,LOW,0.9109663409337676,0.9994565217391305,0.08849018080536286,30,234,0.9446254071661238,0.9997282608695652,0.05510285370344148,0.03365906623235615,0.08101940155029297,0.23182082176208496
tic-tac-toe,958,27,2,0.3632674910336706,MODERATE,0.9166666666666666,1.0,0.08333333333333337,9,63,0.9583333333333334,1.0,0.04166666666666663,0.04166666666666674,0.002004384994506836,0.14624571800231934
tic-tac-toetext,958,27,2,0.3484526762188558,MODERATE,1.0,1.0,0.0,2,3,1.0,1.0,0.0,0.0,0.0020046234130859375,0.16072773933410645
